번호,대분류,중분류,조건/트리거,문구,출처 파일,선택 방식,비고
14,즉시 잔소리 (say1),외식,메모: 외식·맛집 등 또는 커플 카테고리,입은 즐거운데 통장은 눈물 흘리는 중. 맛은 있더냐?,src/data/instantNagBubbles.ts,랜덤 1개,
15,즉시 잔소리 (say1),외식,메모: 외식·맛집 등 또는 커플 카테고리,담엔 집밥 먹을 거지?,src/data/instantNagBubbles.ts,랜덤 1개,
16,즉시 잔소리 (say1),외식,메모: 외식·맛집 등 또는 커플 카테고리,물가 비싸지? 알면서도 사먹었어?,src/data/instantNagBubbles.ts,랜덤 1개,
17,즉시 잔소리 (say1),필수,living·fixed 카테고리 등,너 지금 필수라고 합리화 중이지?,src/data/instantNagBubbles.ts,랜덤 1개,
18,즉시 잔소리 (say1),충동구매,red·special·pet·self_dev 등 기본,고생한 나를 위한 선물? 그냥 충동구매야.,src/data/instantNagBubbles.ts,랜덤 1개,
19,짜투리 잔소리,하단 카드,선택 월·TOP3 시드,다 꼭 필요한 거였어? 다시 한 번 확인해 봐. 정신 똑바로 붙들고.,src/App.tsx,시드 기반 1개,
20,짜투리 잔소리,하단 카드,선택 월·TOP3 시드,소비는 순간이지만 영수증은 영원하지.,src/App.tsx,시드 기반 1개,
21,짜투리 잔소리,하단 카드,선택 월·TOP3 시드,덮어놓고 쓰다 보면 거지 꼴 못 면한다,src/App.tsx,시드 기반 1개,
22,짜투리 잔소리,안내,해당 월 지출 없음,이번 달 기록된 지출이 없어요.,src/App.tsx,고정,
23,주간 결산 (say2),일요일 팝업,직전 7일 지출 > 그 이전 7일,지난주보다 더 썼네? 거지 꼴 못 면한다!,src/App.tsx,조건 분기,
24,주간 결산 (say2),일요일 팝업,직전 7일 지출 ≤ 그 이전 7일,칭찬해. 그래도 정신 단디 똑바로 차리자.,src/App.tsx,조건 분기,
25,일일 스플래시,1억 고양이,24시간 1회,샀니? 샀어?,src/components/SplashCatOverlay.tsx,랜덤 1개,
26,일일 스플래시,1억 고양이,24시간 1회,그게 꼭 필요해?,src/components/SplashCatOverlay.tsx,랜덤 1개,
27,일일 스플래시,1억 고양이,24시간 1회,1억 안 모을 거야?,src/components/SplashCatOverlay.tsx,랜덤 1개,
28,일일 스플래시,1억 고양이,24시간 1회,또 샀어?,src/components/SplashCatOverlay.tsx,랜덤 1개,
29,금액대별 잔소리,~1만 원,RED·강한 개입 등,작은 돈이라고 무시하면 큰 돈이 되어 돌아온다. 오늘부터 바로 끊자.,src/data/nagMessages.ts,랜덤 1개,
30,금액대별 잔소리,~1만 원,RED·강한 개입 등,"지금 웃고 넘긴 1만원이, 10년 뒤엔 울게 만든다.",src/data/nagMessages.ts,랜덤 1개,
31,금액대별 잔소리,~1만 원,RED·강한 개입 등,사소한 지출이 습관이 되면 통장도 습관적으로 얇아진다.,src/data/nagMessages.ts,랜덤 1개,
32,금액대별 잔소리,~5만 원,RED·강한 개입 등,이 정도면 기분 소비가 아니라 자산 파괴의 시작이다.,src/data/nagMessages.ts,랜덤 1개,
33,금액대별 잔소리,~5만 원,RED·강한 개입 등,5만원은 순간이고 후회는 복리로 쌓인다.,src/data/nagMessages.ts,랜덤 1개,
34,금액대별 잔소리,~5만 원,RED·강한 개입 등,지금 한 번 참으면 다음 달 숨통이 열린다.,src/data/nagMessages.ts,랜덤 1개,
35,금액대별 잔소리,~10만 원,RED·강한 개입 등,이 지출은 오늘의 편안함을 위해 미래의 여유를 팔아버리는 선택이다.,src/data/nagMessages.ts,랜덤 1개,
36,금액대별 잔소리,~10만 원,RED·강한 개입 등,한 번의 10만원은 그냥 소비가 아니라 투자 기회 포기 선언이다.,src/data/nagMessages.ts,랜덤 1개,
37,금액대별 잔소리,~10만 원,RED·강한 개입 등,이 돈이 그냥 스쳐 지나가도 되는 금액인지 다시 생각해라.,src/data/nagMessages.ts,랜덤 1개,
38,금액대별 잔소리,10만 원 초과,RED·강한 개입 등,큰돈을 충동적으로 쓰는 순간 통장은 네 편이 아니다.,src/data/nagMessages.ts,랜덤 1개,
39,금액대별 잔소리,10만 원 초과,RED·강한 개입 등,이 금액은 소비가 아니라 자산 계획을 흔드는 사건이다.,src/data/nagMessages.ts,랜덤 1개,
40,금액대별 잔소리,10만 원 초과,RED·강한 개입 등,큰 지출에는 큰 후회가 따라온다. 이번 달 전략을 다시 짜라.,src/data/nagMessages.ts,랜덤 1개,
41,잔소리 수위,보통,복리 효과 모달·금지 문구 템플릿,{카테고리}({금액}원)는 다음 달 우선 절약 권장 항목입니다.,src/data/nagIntensity.ts,동적 치환,
42,잔소리 수위,강함,복리 효과 모달·금지 문구 템플릿,{카테고리}({금액}원) 지출은 {기간} 동안 강한 통제 대상입니다.,src/data/nagIntensity.ts,동적 치환,기간: 7일/이번 달 남은 기간/다음 달 전체
43,잔소리 수위,spartian-lite,복리 효과 모달·금지 문구 템플릿,{카테고리}({금액}원) 소비는 {기간} 금지에 준하는 통제를 적용하세요.,src/data/nagIntensity.ts,동적 치환,
44,잔소리 수위,spartian,복리 효과 모달·금지 문구 템플릿,{카테고리}({금액}원)는 {기간} 금지. 변명 없이 끊으세요.,src/data/nagIntensity.ts,동적 치환,
45,잔소리 수위,spartian-max,복리 효과 모달·금지 문구 템플릿,{카테고리}({금액}원)는 {기간} 절대 금지. 이 항목 결제 버튼을 누르는 순간 미래 자산에 직접 불을 지르는 행위입니다.,src/data/nagIntensity.ts,동적 치환,
46,예산 게이지,0~20%,지출 비율(수입-저축+이월 대비),좋아 잘하고 있어. 이대로만 아껴 쓰자! ✨,src/App.tsx,단계 고정,
47,예산 게이지,20~40%,지출 비율,어어? 슬슬 쓰는 게 늘어나는데? 지켜보고 있다. 👀,src/App.tsx,단계 고정,
48,예산 게이지,40~60%,지출 비율,잠깐! 벌써 절반 넘게 썼어. 정신 차려 집사! ⚠️,src/App.tsx,단계 고정,
49,예산 게이지,60~80%,지출 비율,지갑 닫아! 지금 안 멈추면 이번 달은 끝이야! 🚫,src/App.tsx,단계 고정,
50,예산 게이지,80~100%,지출 비율,한도 끝이야! 더 쓰면 통장이 비명 지를 거다! 💀,src/App.tsx,단계 고정,
51,예산 게이지,100% 초과,지출 비율,에휴 내 팔자야... 결국 다 썼구나? 포기다 포기! 🔥,src/App.tsx,단계 고정,
52,월간 대시보드,쓴 것(지출),홈·지출 카드 클릭,이번 달 총 지출은 {금액}이야. 정말 다 필요한 거였어?,src/App.tsx,랜덤 1개,{금액} 동적
53,월간 대시보드,쓴 것(지출),홈·지출 카드 클릭,이 중에서 비필수 지출이 {비율}%네? 정신 안 차려?,src/App.tsx,랜덤 1개,{비율} 동적
54,월간 대시보드,번 것(수입),홈·수입 카드 클릭,이번 달도 고생했어.,src/App.tsx,랜덤 1개,
55,월간 대시보드,번 것(수입),홈·수입 카드 클릭,오늘도 번 만큼 대단해.,src/App.tsx,랜덤 1개,
56,월간 대시보드,번 것(수입),홈·수입 카드 클릭,수입 기록 완료! 진짜 잘하고 있어.,src/App.tsx,랜덤 1개,
57,월간 대시보드,모은 것(저축),홈·저축 카드 클릭,이번 달 목표 저축액(수입의 {목표%}%)까지 {남은금액} 남았어! 조금만 더 힘내,src/App.tsx,동적 1문장,
58,잔소리의 복리 효과,고정 인트로,단일 지출 20만 원 이상·say1 이후,이 소비를 매달 한 번씩 10년 동안 반복하면,src/App.tsx,고정,
59,잔소리의 복리 효과,오류 안내,금액 오류,입력 금액을 확인한 뒤 다시 시도해 주세요.,src/App.tsx,고정,
60,잔소리의 복리 효과,수입/저축 기록,수입·저축만 기록 시,좋은 흐름을 유지하세요.,src/App.tsx,고정,
61,복리 효과·카테고리 코멘트,생활+외식/배달,메모: 외식·배달·회식·맛집·야식·카페,외식/배달 성격 지출은 반복되기 쉬워요. {기간}는 강하게 한도를 묶어 관리합시다.,src/App.tsx,조건,{기간}=7일→이번 주 그외→이번 기간
62,복리 효과·카테고리 코멘트,생활(일반),생활 카테고리,생활 필수 지출은 강한 통제보다 예산 관리가 우선입니다. {기간} 한도만 정해서 안정적으로 관리하세요.,src/App.tsx,조건,
63,복리 효과·카테고리 코멘트,커플,커플 카테고리,데이트·선물 비용은 반복되기 쉬워요. {기간} 미리 정한 데이트 예산 안에서만 쓰기로 해요.,src/App.tsx,조건,
64,복리 효과·카테고리 코멘트,특별+여행/이벤트,메모: 여행·해외·항공·호텔·이벤트·공연 등,여행/이벤트 지출은 한 번 커지면 회복이 어렵습니다. {기간}는 강한 통제로 지출 속도를 늦추세요.,src/App.tsx,조건,
65,복리 효과·카테고리 코멘트,특별+경조사,메모: 경조사·축의금·부의금 등,경조사는 관계를 위한 지출이라 완전 통제 대상은 아닙니다. 예산선을 먼저 정하고 그 안에서 챙기세요.,src/App.tsx,조건,
66,복리 효과·카테고리 코멘트,코치(일반),자기개발·특별 등,{카테고리} 지출은 상황형 소비입니다. {기간} 한도만 정해서 관리하세요.,src/App.tsx,조건,{카테고리} 동적
67,복리 효과·카테고리 코멘트,고정+통신,메모: 통신·요금제·휴대폰·인터넷 등,고정비 중에서도 통신 항목은 조정 여지가 큽니다. {기간} 요금제/부가서비스를 점검하세요.,src/App.tsx,조건,
68,복리 효과·카테고리 코멘트,고정(일반),고정 카테고리,{카테고리}는 필수/고정 성격이 큰 항목입니다. 잔소리 대신 기록과 추세만 점검합니다.,src/App.tsx,조건,
69,복리 효과·통제 코멘트,생활(일반),생활 카테고리,생활(식비/필수품/의료)은 강한 통제 대상보다 예산 관리 권유 대상입니다. 다음 기간 한도 내에서만 관리해요.,src/App.tsx,조건,
70,복리 효과·통제 코멘트,커플,커플 카테고리,데이트 비용도 추억은 소중하지만 {기간} 예산 한도 안에서 집사 통장도 함께 지켜요.,src/App.tsx,조건,
71,복리 효과·통제 코멘트,특별+경조사,경조사 메모,경조사 지출은 완전 통제보다 관계와 예산의 균형이 중요합니다. 다음 기간 예산 상한만 지켜주세요.,src/App.tsx,조건,
72,복리 효과·통제 코멘트,반려(pet),pet 카테고리,반려동물 지출은 사랑의 표현이지만 {기간} 예산 한도 안에서 집사 통장도 함께 지켜요.,src/App.tsx,조건,
73,복리 효과·통제 코멘트,고정(주거/보험),고정·통신 메모 없음,주거/보험 성격의 고정비는 우선 절약 권장 항목에서 제외하고 납부 안정성과 변동 추세를 우선 점검합니다.,src/App.tsx,조건,
74,반려동물 잔소리,고액,15만 원 이상,아이를 위한 마음은 알겠지만 집사가 파산하면 아이도 슬퍼해요!,src/App.tsx,랜덤 1개,
75,반려동물 잔소리,고액,15만 원 이상,사랑은 충분해요. 이번 결제는 한 번만 더 계산해보고 지켜요.,src/App.tsx,랜덤 1개,
76,반려동물 잔소리,간식/사료,메모: 간식·사료·캔·츄르,간식 많이 사준다고 사랑이 비례하는 건 아니에요. 아이 비만 오면 병원비가 더 나옵니다!,src/App.tsx,랜덤 1개,
77,반려동물 잔소리,장난감/옷,메모: 장난감·옷·리드줄·하네스,집사야 저번에 산 장난감도 아직 새거다. 아이는 새 옷보다 너랑 5분 더 노는 걸 좋아해.,src/App.tsx,랜덤 1개,
78,반려동물 잔소리,병원,메모: 병원·약·진료·접종,이건 아끼지 마세요. 대신 다음 달엔 집사님 커피값을 줄여서 메꿉시다. 아이는 죄가 없으니까요!,src/App.tsx,랜덤 1개,
79,반려동물 잔소리,미용,메모: 미용·스파·향수 등,댕댕이 미용은 풀코스로 집사님 머리는 셀프 컷? 적당히 합시다. 같이 오래 살려면 집사 통장도 지켜야죠.,src/App.tsx,랜덤 1개,
80,반려동물 잔소리,기본,위 조건 해당 없음,아이를 챙기는 마음은 최고예요. 다만 집사 통장 체력도 같이 관리해요.,src/App.tsx,고정,
81,RED 반성 모달,택시,RED 내역·메모 택시,두 번 탈 거 한 번으로 줄이세요. 기본요금 거리는 튼튼한 두 다리로!,src/App.tsx,조건,
82,RED 반성 모달,커피,RED 내역·메모 커피,카페인 수혈도 적당히! 내일은 집에서 타온 커피 어때요?,src/App.tsx,조건,
83,RED 반성 모달,옷/가방/화장품,RED 내역·해당 메모,인스타 보고 산 거 아니죠? 결제 전 10초만 더 고민하세요.,src/App.tsx,조건,
84,RED 반성 모달,기본,RED 내역·기타,지금 지출도 기록하면 통제할 수 있어요. 다음 결제 전 10초만 더 생각해봐요.,src/App.tsx,조건,
85,RED 반성 모달,마무리,모달 하단 고정,지출 줄이는 거 힘들죠? 하지만 부자 되는 건 더 힘듭니다. 다시 마음 잡으세요!,src/App.tsx,고정,
86,달력·일별 내역,위험,RED 지출 또는 당일 지출 10만 원 이상,집사야 깡통 차기 일보직전이다냥!,src/App.tsx,조건,
87,달력·일별 내역,양호,그 외(수입만·지출 없음 등),나이스! 1억 부자가 머지않았다냥!,src/App.tsx,조건,
